Active CSV Line,Title,Artist,Field,Active Value,Candidate Value,Staged Value,Reason,Source
23,Surround Me With Your Love (Mental Overdrive remix),3-11 Porter,Spotify Track ID,2TU7Eb1kVi9lkxWWjCy4hv,2TU7Eb1kVi9lkxWWjCy4hv,7vmlI8Ifgh1JceLDzVWrub,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
77,Take On Me (MTV Unplugged),a-ha,Spotify Track ID,2WfaOiMkCvy7F5fcp2zZ8L,2WfaOiMkCvy7F5fcp2zZ8L,7htt7UuxHL5wneOcMWJP5E,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
90,Rainbow Warrior,Abakus,Spotify Track ID,4YmeoueDGZKhGk4UZPebcL,4YmeoueDGZKhGk4UZPebcL,4KAbZV8A5ISYtkztzA27CG,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
154,I Don't Want to Miss a Thing,Aerosmith,Spotify Track ID,1xEEN1FMnnrJmdhbCWXCQj,1xEEN1FMnnrJmdhbCWXCQj,225xvV8r1yKMHErSWivnow,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
155,Love in an Elevator,Aerosmith,Spotify Track ID,1nZ2TI2hNPGDYyesyaaASn,1nZ2TI2hNPGDYyesyaaASn,1l6DV8qhmCdgOKLSAFzPOe,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
171,Dub In Ya Mind (Beach Club Mix),Afterlife,Spotify Track ID,06DXs2hBRdjNs1qE1iYCQQ,06DXs2hBRdjNs1qE1iYCQQ,6PL9VLAwzRQdLJ1TM48snU,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
194,All I Need,Air,Spotify Track ID,15BlQhZY1eifwSr1rLMdUG,15BlQhZY1eifwSr1rLMdUG,7jOM0KIKgIppqIEvEjixaj,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
195,All I Need (feat. Beth Hirsch),Air,Spotify Track ID,15BlQhZY1eifwSr1rLMdUG,15BlQhZY1eifwSr1rLMdUG,7jOM0KIKgIppqIEvEjixaj,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
202,Cherry Blossom Girl (Simian Mobile disco remix),Air,Spotify Track ID,4m8ttWM8IKXyhpv89E867J,4m8ttWM8IKXyhpv89E867J,41JmmWQb9vlm3eRAwP4dyW,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
207,How Does It Make You Feel? (Edit),Air,Spotify Track ID,4IoqGTH2D6zMrGzg9gW0DL,4IoqGTH2D6zMrGzg9gW0DL,70cffa1QCpfYYAVWkwg5Oc,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
